1,Tokyo
2,Yokohama
3,Osaka
4,Nagoya
5,Sapporo
6,Kobe
7,Kyoto
8,Fukuoka
9,Kawasaki
10,Saitama
11,Hiroshima
12,Yono
13,Sendai
14,Kitakyushu
15,Chiba
16,Sakai
17,Shizuoka
18,Kumamoto
19,Okayama
20,Hamamatsu
21,Hachioji
22,Honcho
23,Kagoshima
24,Niigata
25,Himeji
26,Matsudo
27,Nishinomiya-hama
28,Kawaguchi
29,Kanazawa
30,Utsunomiya
31,Oita
32,Matsuyama
33,Amagasaki
34,Kurashiki
35,Yokosuka
36,Nagasaki
37,Hirakata
38,Machida
39,Gifu-shi
40,Fujisawa
41,Toyonaka
42,Fukuyama
43,Toyohashi
44,Minato
45,Nara-shi
46,Toyota
47,Nagano
48,Iwaki
49,Asahikawa
50,Takatsuki
51,Okazaki
52,Suita
53,Wakayama
54,Koriyama
55,Kashiwa
56,Tokorozawa
57,Kawagoe
58,Kochi
59,Takamatsu
60,Toyama
61,Akita
62,Koshigaya
63,Miyazaki
64,Naha
65,Kasugai
66,Aomori
67,Otsu
68,Akashi
69,Yokkaichi
70,Morioka
71,Fukushima
72,Ichihara
73,Maebashi
74,Ichinomiya
75,Hakodate
76,Ibaraki
77,Yao
78,Kakogawacho-honmachi
79,Tokushima
80,Hiratsuka
81,Yamagata
82,Fukui-shi
83,Mito
84,Shimonoseki
85,Takasaki
86,Fuji
87,Hachinohe
88,Neyagawa
89,Kurume
90,Sasebo
91,Chigasaki
92,Soka
93,Atsugi
94,Minamirinkan
95,Takarazuka
96,Ageoshimo
97,Chofu
98,Matsumoto
99,Kasukabe
100,Kishiwada
101,Numazu
102,Joetsu
103,Odawara
104,Kure
105,Nagaoka
106,Nishi-Tokyo-shi
107,Itami
108,Uji
109,Suzuka
110,Kofu
111,Izumi
112,Hitachi
113,Kushiro
114,Sakura
115,Kamirenjaku
116,Anjo
117,Tsukuba
118,Hirosaki
119,Tomakomai
120,Hadano
121,Obihiro
122,Ube
123,Hino
124,Takaoka
125,Kamakura
126,Saga
127,Tsu
128,Sayama
129,Kawanishi
130,Oyama
131,Ashikaga
132,Hitachi-Naka
133,Matsue
134,Nagareyama
135,Katsuta
136,Kumagaya
137,Tottori
138,Ota
139,Komaki
140,Ogaki
141,Higashimurayama
142,Ome
143,Moriguchi
144,Yamaguchi
145,Otaru
146,Urayasu
147,Yonago
148,Kuwana
149,Kariya
150,Musashino
151,Zama
152,Seto
153,Ebetsu
154,Tondabayashicho
155,Fujieda
156,Sandacho
157,Kakamigahara
158,Omuta
159,Abiko
160,Kadoma
161,Miyakonojo
162,Matsubara
163,Isesaki
164,Daitocho
165,Mino
166,Asaka
167,Kusatsu
168,Ueda
169,Okinawa
170,Beppu
171,Kashihara-shi
172,Niihama
173,Kisarazu
174,Nobeoka
175,Fujinomiya
176,Noda
177,Yaizu
178,Toyokawa
179,Shimotoda
180,Kokubunji
181,Ikoma
182,Ishinomaki
183,Hofu
184,Handa
185,Mishima
186,Kitami
187,Hikone
188,Kiryu
189,Komatsu
190,Iwatsuki
191,Tajimi
192,Iida
193,Fukayacho
194,Honmachi
195,Iwakuni
196,Isehara
197,Nishio
198,Inazawa
199,Tokuyama
200,Narita
201,Izumisano
202,Sakata
203,Konan
204,Chikushino-shi
205,Tsuruoka
206,Ikeda
207,Isahaya
208,Mobara
209,Ise
210,Kameoka
211,Sakado
212,Muroran
213,Onojo
214,Kanuma
215,Yonezawa
216,Kitakami
217,Chitose
218,Kaizuka
219,Maizuru
220,Kimitsu
221,Ginowan
222,Onomichi
223,Omura
224,Tsuyama
225,Izumo
226,Ashiya
227,Iwata
228,Konosu
229,Nabari
230,Yotsukaido
231,Hamakita
232,Gyoda
233,Hanno
234,Kashiwazaki
235,Ryugasaki
236,Iwamizawa
237,Kakegawa
238,Gotenba
239,Yachimata
240,Katori-shi
241,Kamigyo-ku
242,Sanjo
243,Sano
244,Kanoya
245,Tochigi
246,Tanashicho
247,Marugame
248,Yashio
249,Tatebayashi
250,Shibata
251,Gamagori
252,Izumiotsu
253,Toride
254,Mihara
255,Ushiku
256,Kashihara
257,Karatsu
258,Iizuka
259,Obu
260,Wako
261,Hatsukaichi
